letter,weight,rel_weight,center,rel_center,horizontal moment,vertical moment,normalized horizontal moment,normalized vertical moment,i45 moment,normalized i45 moment,i135 moment,normalized i135 moment
Ա,393,0.2799145299145299,"(19, 18)","(0.47368421052631576, 0.4857142857142857)",54266,50552,19.2637557685481,17.945331913383033,43614.0,15.482428115015974,61204.0,21.726659566915156
ա,414,0.40390243902439027,"(19, 12)","(0.45, 0.4583333333333333)",24710,50097,10.715524718126627,21.724631396357328,33469.5,14.514093668690373,41337.5,17.926062445793583
Բ,301,0.25336700336700335,"(14, 17)","(0.40625, 0.45714285714285713)",34468,26294,14.451991614255766,11.024737945492662,40067.0,16.79958071278826,20695.0,8.677148846960169
բ,281,0.3301997649823737,"(10, 15)","(0.4090909090909091, 0.3888888888888889)",34471,11292,18.161749209694417,5.949420442571127,29254.5,15.413329820864067,16508.5,8.697839831401476
Գ,342,0.2638888888888889,"(17, 17)","(0.45714285714285713, 0.45714285714285713)",35080,33259,13.533950617283951,12.831404320987655,18824.5,7.262538580246914,49514.5,19.10281635802469
գ,303,0.32756756756756755,"(12, 16)","(0.4583333333333333, 0.4166666666666667)",31310,14902,15.70210631895687,7.473420260782347,16309.0,8.179037111334003,29903.0,14.996489468405215
Դ,287,0.22777777777777777,"(19, 16)","(0.5294117647058824, 0.42857142857142855)",34210,28523,13.570011900039667,11.314161047203491,15289.5,6.064855216184054,47443.5,18.819317731059105
դ,328,0.3166023166023166,"(14, 15)","(0.48148148148148145, 0.3888888888888889)",35145,18355,16.323734324198792,8.525313516024152,17368.0,8.066883418485833,36132.0,16.78216442173711
Ե,302,0.2621527777777778,"(14, 18)","(0.41935483870967744, 0.4857142857142857)",35813,26060,15.436637931034483,11.232758620689655,21360.5,9.207112068965516,40512.5,17.46228448275862
ե,277,0.28036437246963564,"(11, 21)","(0.4, 0.5405405405405406)",35455,10944,16.724056603773583,5.162264150943396,14065.5,6.634669811320754,32333.5,15.251650943396227
Զ,372,0.33513513513513515,"(15, 19)","(0.4827586206896552, 0.5)",44127,28745,19.44777434993389,12.66857646540326,36230.0,15.967386513882767,36642.0,16.148964301454384
զ,287,0.31027027027027027,"(12, 16)","(0.4583333333333333, 0.4166666666666667)",29343,13972,14.715646940822467,7.007021063189569,15646.5,7.84679037111334,27668.5,13.875877632898696
Է,270,0.25,"(12, 18)","(0.4230769230769231, 0.4358974358974359)",38948,13659,16.7230571060541,5.864748819235723,18521.5,7.952554744525547,34085.5,14.635251180764277
է,232,0.23015873015873015,"(9, 20)","(0.34782608695652173, 0.4634146341463415)",35075,6641,14.989316239316238,2.838034188034188,14140.0,6.042735042735043,27576.0,11.784615384615385
Ը,289,0.2744539411206078,"(11, 18)","(0.38461538461538464, 0.4473684210526316)",44925,26708,19.966666666666665,11.870222222222223,39766.5,17.674,31866.5,14.162888888888888
ը,340,0.34034034034034033,"(12, 16)","(0.4230769230769231, 0.4166666666666667)",40572,16757,19.338417540514776,7.987130600571973,30756.5,14.659914204003814,26572.5,12.665633937082935
Թ,444,0.3008130081300813,"(19, 17)","(0.45, 0.45714285714285713)",42031,49796,14.118575747396708,16.726906281491434,56805.5,19.081457843466577,35021.5,11.764024185421565
թ,407,0.3548387096774194,"(13, 15)","(0.4, 0.3888888888888889)",40303,25248,17.297424892703862,10.836051502145922,40997.5,17.59549356223176,24553.5,10.537982832618026
Ժ,355,0.28174603174603174,"(16, 18)","(0.4411764705882353, 0.4857142857142857)",37153,33840,14.737405791352638,13.423244744149148,50230.5,19.92483141610472,20762.5,8.235819119397064
ժ,301,0.30465587044534415,"(12, 20)","(0.44, 0.5135135135135135)",32709,15935,15.42877358490566,7.5165094339622645,32970.0,15.55188679245283,15674.0,7.393396226415095
Ի,284,0.2798029556650246,"(12, 16)","(0.39285714285714285, 0.4411764705882353)",28845,19835,13.961761858664085,9.600677637947726,25335.0,12.262826718296225,23345.0,11.299612778315586
ի,355,0.26296296296296295,"(11, 24)","(0.38461538461538464, 0.46938775510204084)",62369,15825,19.315267884794054,4.900898110870238,36346.0,11.256116444719728,41848.0,12.960049550944564
Լ,219,0.20277777777777778,"(10, 20)","(0.34615384615384615, 0.48717948717948717)",37115,9260,15.936024044654358,3.9759553456419066,12064.5,5.180120223271791,34310.5,14.731859167024474
լ,167,0.2375533428165007,"(6, 18)","(0.2777777777777778, 0.4722222222222222)",22616,1043,13.072832369942196,0.6028901734104046,9849.5,5.69335260115607,13809.5,7.982369942196532
Խ,393,0.3119047619047619,"(16, 18)","(0.42857142857142855, 0.5)",36953,46378,14.658072193573979,18.396667988893295,36725.5,14.567830226100753,46605.5,18.48690995636652
խ,485,0.24871794871794872,"(16, 25)","(0.39473684210526316, 0.4897959183673469)",69771,56317,17.351653817458345,14.005719970156678,57667.0,14.34145734891818,68421.0,17.01591643869684
Ծ,408,0.28254847645429365,"(18, 17)","(0.4594594594594595, 0.43243243243243246)",51367,52550,17.786357340720222,18.195983379501385,51618.5,17.873441828254848,52298.5,18.10889889196676
ծ,310,0.3708133971291866,"(10, 21)","(0.42857142857142855, 0.5405405405405406)",30105,12414,15.614626556016598,6.4387966804979255,18088.5,9.382002074688797,24430.5,12.671421161825727
Կ,313,0.2630252100840336,"(18, 16)","(0.5151515151515151, 0.4411764705882353)",31007,27827,13.022679546409071,11.687106257874843,13269.0,5.5728685426291475,45565.0,19.136917261654766
կ,388,0.27714285714285714,"(14, 26)","(0.48148148148148145, 0.5102040816326531)",66492,20151,20.247259439707673,6.136114494518879,23804.5,7.248629719853837,62838.5,19.134744214372716
Հ,226,0.21523809523809523,"(13, 24)","(0.5, 0.5609756097560976)",37100,7987,15.52951025533696,3.3432398493093345,24188.5,10.124947676852239,20898.5,8.747802427794056
հ,315,0.3153153153153153,"(12, 21)","(0.4230769230769231, 0.5555555555555556)",36905,15298,17.590562440419447,7.291706387035272,18142.5,8.647521448999047,34060.5,16.234747378455673
Ձ,361,0.3364398881640261,"(15, 20)","(0.5, 0.5277777777777778)",49202,27597,22.263348416289592,12.487330316742081,41829.5,18.92737556561086,34969.5,15.823303167420814
ձ,277,0.2699805068226121,"(11, 24)","(0.38461538461538464, 0.6216216216216216)",28545,11260,13.136217211228717,5.181776346065347,19285.5,8.875057524160148,20519.5,9.442936033133916
Կ,313,0.2630252100840336,"(18, 16)","(0.5151515151515151, 0.4411764705882353)",31007,27827,13.022679546409071,11.687106257874843,13269.0,5.5728685426291475,45565.0,19.136917261654766
կ,388,0.27714285714285714,"(14, 26)","(0.48148148148148145, 0.5102040816326531)",66492,20151,20.247259439707673,6.136114494518879,23804.5,7.248629719853837,62838.5,19.134744214372716
Ճ,365,0.2989352989352989,"(15, 21)","(0.4375, 0.5555555555555556)",46123,26673,18.764442636289665,10.851505288852726,40510.0,16.480878763222133,32286.0,13.13506916192026
ճ,297,0.3006072874493927,"(13, 23)","(0.48, 0.5945945945945946)",36874,14855,17.393396226415096,7.007075471698113,32806.5,15.474764150943397,18922.5,8.92570754716981
Մ,380,0.25745257452574527,"(19, 15)","(0.45, 0.4)",51549,49555,17.315754114880754,16.645952300974134,57678.0,19.37453812562983,43426.0,14.587168290225058
մ,316,0.29699248120300753,"(15, 22)","(0.5185185185185185, 0.5675675675675675)",35369,17198,15.874775583482945,7.71903052064632,32726.5,14.688734290843806,19840.5,8.905071813285458
Յ,333,0.36,"(13, 18)","(0.5, 0.4722222222222222)",40033,20727,20.076730190571716,10.39468405215647,29368.0,14.728184553660983,31392.0,15.743229689067201
յ,158,0.4744744744744745,"(6, 17)","(0.625, 0.4444444444444444)",20958,594,14.453793103448277,0.4096551724137931,11250.0,7.758620689655173,10302.0,7.104827586206897
Ն,246,0.19523809523809524,"(16, 20)","(0.4411764705882353, 0.5428571428571428)",28336,25374,11.239984133280444,10.0650535501785,9692.0,3.844506148353828,44018.0,17.460531535105115
ն,324,0.32793522267206476,"(12, 22)","(0.44, 0.5675675675675675)",36867,17449,17.390094339622642,8.230660377358491,16722.0,7.887735849056604,37594.0,17.733018867924528
Շ,334,0.30925925925925923,"(12, 16)","(0.3793103448275862, 0.42857142857142855)",44331,22319,20.187158469945356,10.163479052823314,32068.0,14.602914389799636,34582.0,15.747723132969035
շ,222,0.3,"(10, 15)","(0.47368421052631576, 0.3888888888888889)",33258,7414,18.800452232899943,4.191068400226117,26041.0,14.720746184284907,14631.0,8.270774448841154
Ո,348,0.26126126126126126,"(18, 19)","(0.4722222222222222, 0.5142857142857142)",46538,39157,17.462664165103188,14.693058161350844,42355.5,15.893245778611632,43339.5,16.2624765478424
ո,275,0.4243827160493827,"(12, 12)","(0.4230769230769231, 0.4782608695652174)",16670,14595,12.773946360153257,11.183908045977011,14144.5,10.838697318007663,17120.5,13.119157088122606
Չ,288,0.2962962962962963,"(14, 18)","(0.5, 0.4857142857142857)",37805,18927,18.669135802469135,9.346666666666666,31121.0,15.368395061728394,25611.0,12.647407407407407
չ,174,0.22894736842105262,"(7, 19)","(0.3157894736842105, 0.4864864864864865)",22595,3120,12.253253796095445,1.6919739696312364,12990.5,7.044739696312364,12724.5,6.900488069414317
Պ,361,0.27876447876447874,"(18, 16)","(0.5, 0.4166666666666667)",41387,29698,15.954895913646878,11.448727833461835,19547.5,7.535659213569776,51537.5,19.867964533538935
պ,464,0.3058668424522083,"(21, 15)","(0.5, 0.3888888888888889)",43406,58121,14.231475409836065,19.056065573770493,33980.5,11.141147540983606,67546.5,22.14639344262295
Ջ,373,0.33603603603603605,"(15, 19)","(0.4827586206896552, 0.5)",42225,28157,18.60951961216395,12.409431467606876,38001.0,16.7479065667695,32381.0,14.271044513001323
ջ,265,0.3410553410553411,"(9, 15)","(0.4, 0.3888888888888889)",32751,10720,18.094475138121545,5.922651933701657,26174.5,14.461049723756906,17296.5,9.556077348066298
Ռ,387,0.2621951219512195,"(19, 19)","(0.45, 0.5142857142857142)",47075,51392,15.812898891501511,17.26301645952301,47686.5,16.018307020490425,50780.5,17.057608330534094
ռ,279,0.44711538461538464,"(13, 11)","(0.48, 0.43478260869565216)",16432,16305,13.124600638977636,13.023162939297125,17157.5,13.704073482428115,15579.5,12.443690095846645
Ս,350,0.2700617283950617,"(17, 16)","(0.45714285714285713, 0.42857142857142855)",47034,38590,18.145833333333332,14.888117283950617,42968.0,16.57716049382716,42656.0,16.45679012345679
ս,263,0.3896296296296296,"(13, 12)","(0.46153846153846156, 0.4583333333333333)",15573,13674,11.501477104874446,10.098966026587888,12707.5,9.385155096011816,16539.5,12.215288035450516
Վ,339,0.22905405405405405,"(21, 17)","(0.5555555555555556, 0.41025641025641024)",38488,28371,12.963287302121927,9.555742674301111,23249.5,7.830751094644661,43609.5,14.688278881778377
վ,364,0.25103448275862067,"(15, 25)","(0.5, 0.4897959183673469)",59157,18076,17.706375336725532,5.410356180784197,36498.5,10.924423825202036,40734.5,12.192307692307692
Տ,310,0.33513513513513515,"(12, 18)","(0.4583333333333333, 0.4722222222222222)",38800,16405,19.45837512537613,8.227181544633902,25516.5,12.796639919759278,29688.5,14.888916750250752
տ,378,0.378,"(19, 12)","(0.46153846153846156, 0.4583333333333333)",22054,47589,9.91191011235955,21.388314606741574,32962.5,14.814606741573034,36680.5,16.48561797752809
Ր,240,0.21505376344086022,"(12, 16)","(0.36666666666666664, 0.42857142857142855)",32964,17422,14.60522817899867,7.719096145325653,38326.0,16.98094816127603,12060.0,5.343376163048294
ր,333,0.3333333333333333,"(11, 15)","(0.38461538461538464, 0.3888888888888889)",37372,16364,17.813155386081984,7.799809342230696,31557.0,15.041468064823642,22179.0,10.571496663489038
Ց,323,0.33575883575883575,"(13, 18)","(0.48, 0.4722222222222222)",38761,18545,18.95403422982885,9.06845965770171,27431.0,13.413691931540342,29875.0,14.60880195599022
ց,337,0.414004914004914,"(12, 17)","(0.5238095238095238, 0.4444444444444444)",41217,19286,22.24338909875877,10.407987048030222,30264.5,16.33270372369131,30238.5,16.31867242309768
Ւ,287,0.24848484848484848,"(12, 17)","(0.34375, 0.47058823529411764)",28646,20655,12.37942955920484,8.92610198789974,24081.5,10.406871218668972,25219.5,10.898660328435609
ւ,147,0.3223684210526316,"(7, 13)","(0.3333333333333333, 0.5217391304347826)",8721,1621,9.30736392742796,1.7299893276414087,3237.0,3.454642475987193,7105.0,7.582710779082177
Փ,440,0.35918367346938773,"(17, 17)","(0.47058823529411764, 0.47058823529411764)",38964,38867,15.903673469387755,15.864081632653061,39285.5,16.034897959183674,38545.5,15.732857142857142
փ,500,0.25,"(19, 25)","(0.46153846153846156, 0.4897959183673469)",69807,48120,17.02609756097561,11.736585365853658,56074.5,13.67670731707317,61852.5,15.085975609756098
Ք,383,0.3324652777777778,"(16, 18)","(0.4838709677419355, 0.4857142857142857)",39055,26317,16.834051724137932,11.34353448275862,45260.0,19.50862068965517,20112.0,8.668965517241379
ք,384,0.4151351351351351,"(11, 17)","(0.4166666666666667, 0.4444444444444444)",46887,18388,23.514042126379138,9.221664994984955,40287.5,20.204363089267805,24987.5,12.531344032096289
Օ,376,0.29034749034749036,"(17, 18)","(0.47058823529411764, 0.4722222222222222)",44859,55076,17.29336931380108,21.23207401696222,52288.5,20.157478797224364,47646.5,18.367964533538935
օ,231,0.4017391304347826,"(11, 12)","(0.45454545454545453, 0.4583333333333333)",12082,12988,10.469670710571924,11.25476603119584,13267.0,11.496533795493933,11803.0,10.22790294627383
Ֆ,432,0.375,"(16, 18)","(0.4838709677419355, 0.4857142857142857)",50957,27970,21.964224137931033,12.056034482758621,32425.5,13.976508620689655,46501.5,20.04375
ֆ,477,0.3289655172413793,"(14, 23)","(0.4642857142857143, 0.4489795918367347)",82972,22261,24.834480694402874,6.662975157138582,46130.5,13.80739299610895,59102.5,17.690062855432505
